439.45:0.4614,879.30:0.1938,878.91:0.1839,439.84:0.1755,439.06:0.1200,878.12:0.1076,1160.16:0.1014,4641.02:0.0984,438.67:0.0953,308.59:0.0892,40.23:10.4462,40.62:5.1889,39.84:2.5073,41.02:2.2650,39.45:1.6730,41.41:1.2432,41.80:0.9930,38.67:0.9750,39.06:0.9707,42.19:0.7173,439.45:0.3866,268.36:0.2095,2196.88:0.1632,2319.14:0.1581,1160.16:0.1485,439.84:0.1472,268.75:0.1294,2195.31:0.1228,4641.02:0.1213,1159.38:0.1204,1160.16:0.9599,1159.38:0.7386,879.30:0.6184,439.45:0.6129,1158.98:0.6084,878.91:0.5512,1160.55:0.4237,1157.42:0.4170,1157.81:0.3810,1158.59:0.3787,268.36:0.3020,3482.42:0.2275,3476.17:0.2260,439.45:0.2182,3480.86:0.1883,268.75:0.1866,3476.95:0.1683,3477.34:0.1590,3474.61:0.1581,879.30:0.1541,439.45:0.4053,2196.88:0.2599,268.36:0.2392,3482.42:0.2214,3476.17:0.2193,2319.14:0.2114,2195.31:0.1926,3480.86:0.1839,2200.39:0.1609,2198.05:0.1557,439.45:1.2217,879.30:0.5222,878.91:0.4863,439.84:0.4700,2196.88:0.4053,3482.42:0.3986,3476.17:0.3900,1318.75:0.3870,3480.86:0.3272,439.06:0.3234,119.92:0.3326,80.08:0.3134,39.84:0.3058,200.00:0.2350,159.77:0.2212,239.84:0.2047,40.23:0.1677,160.16:0.1556,79.69:0.1319,319.92:0.1087,439.45:0.6911,1125.78:0.3705,1074.61:0.2517,268.36:0.2434,439.84:0.1939,41.80:0.1848,878.91:0.1825,879.30:0.1799,1125.39:0.1761,268.75:0.1674
439.45:0.4487,878.91:0.1953,878.52:0.1502,879.30:0.1436,439.06:0.1331,439.84:0.1301,4634.77:0.1169,878.12:0.1039,880.47:0.1016,1159.38:0.0942,40.23:10.3917,40.62:5.1159,39.84:2.5161,41.02:2.1884,39.45:1.6635,41.41:1.2717,39.06:1.1203,41.80:0.8930,42.19:0.7591,38.28:0.7267,439.45:0.3913,268.36:0.2222,2196.48:0.2041,2318.36:0.1794,2319.14:0.1642,2316.41:0.1602,2316.80:0.1600,2318.75:0.1535,1158.98:0.1440,268.75:0.1421,1158.98:0.9285,1159.38:0.8946,878.91:0.6882,1160.16:0.5966,439.45:0.5756,878.52:0.5143,1158.59:0.4718,879.30:0.4639,1157.42:0.4450,1161.33:0.4236,268.36:0.3064,3475.78:0.2950,3479.69:0.2372,439.45:0.2156,3478.91:0.2136,268.75:0.1929,3480.47:0.1928,878.91:0.1517,4634.77:0.1517,3477.34:0.1361,439.45:0.4071,2196.48:0.3332,3475.78:0.2876,268.36:0.2407,3479.69:0.2299,3478.91:0.1985,2197.27:0.1840,3480.47:0.1836,2318.36:0.1706,2316.80:0.1638,439.45:1.1907,878.91:0.5823,2196.48:0.5118,3475.78:0.5076,878.52:0.4439,879.30:0.4204,3479.69:0.4071,1317.58:0.3907,439.06:0.3634,439.84:0.3543,119.92:0.3378,80.08:0.3183,39.84:0.3089,200.00:0.2398,159.77:0.2228,239.84:0.2081,40.23:0.1678,160.16:0.1588,79.69:0.1297,319.92:0.1105,439.45:0.6286,1125.00:0.2277,268.36:0.2132,41.80:0.2110,1125.78:0.2097,1124.61:0.2009,878.91:0.1879,537.11:0.1835,439.06:0.1819,878.52:0.1669
439.45:0.3257,878.91:0.1773,427.34:0.1532,879.30:0.1430,877.34:0.1257,880.47:0.1186,439.84:0.1080,4644.14:0.1053,440.23:0.1008,878.12:0.1006,40.23:9.9261,40.62:5.5618,39.84:2.5632,41.02:2.3033,39.45:1.7539,41.41:1.3398,39.06:1.1502,38.67:0.9840,41.80:0.9522,42.19:0.7309,439.45:0.4373,268.75:0.2451,2321.09:0.2191,2317.58:0.1749,2322.27:0.1735,2316.41:0.1577,2317.97:0.1513,439.84:0.1497,2321.88:0.1470,2320.31:0.1441,878.91:0.6600,1159.77:0.5977,1158.20:0.5758,879.30:0.5288,1159.38:0.5127,1161.33:0.5043,877.34:0.4799,1160.94:0.4487,439.45:0.4288,880.47:0.4016,268.75:0.3263,439.45:0.2383,3481.25:0.2102,3483.20:0.2068,3475.78:0.1945,268.36:0.1779,4644.14:0.1667,3483.59:0.1602,3482.42:0.1560,878.91:0.1493,439.45:0.4668,268.75:0.2563,3481.25:0.2135,3483.20:0.2118,2321.09:0.2084,2195.70:0.1978,3475.78:0.1964,2198.05:0.1787,3482.42:0.1779,427.34:0.1719,439.45:1.0342,878.91:0.5600,1319.92:0.5444,1318.36:0.4589,879.30:0.4522,1316.80:0.4299,877.34:0.4115,3481.25:0.3824,3483.20:0.3738,880.47:0.3535,80.08:0.3392,119.92:0.3224,39.84:0.2934,200.00:0.2588,160.16:0.2169,40.23:0.1872,239.84:0.1716,159.77:0.1657,280.08:0.1452,319.92:0.1101,439.45:0.6157,268.75:0.2636,1125.39:0.2595,1125.78:0.2358,41.80:0.2133,537.11:0.1800,308.59:0.1681,1126.56:0.1644,439.84:0.1630,438.67:0.1556
879.69:0.2406,439.45:0.2251,439.06:0.1756,878.52:0.1488,4640.62:0.1422,440.23:0.1355,439.84:0.1334,427.34:0.1182,880.08:0.1147,4641.80:0.1132,40.23:9.7984,40.62:5.8561,39.84:2.9238,41.02:2.3811,39.45:1.5274,41.41:1.4260,39.06:1.1792,38.67:1.0227,41.80:0.9792,42.19:0.7379,439.45:0.3375,2320.31:0.3029,439.06:0.2648,268.75:0.2325,2321.48:0.2180,440.23:0.2061,439.84:0.1929,2321.88:0.1917,2322.27:0.1730,2319.53:0.1617,879.69:0.8732,1160.94:0.7437,1160.55:0.5807,878.52:0.5132,1160.16:0.4487,880.08:0.4300,877.34:0.3546,891.80:0.3461,268.75:0.3446,1158.20:0.3444,3480.47:0.3139,268.75:0.3039,3481.25:0.2344,4640.62:0.2095,879.69:0.2068,3482.81:0.1953,3483.20:0.1751,439.45:0.1747,269.14:0.1734,4641.41:0.1673,439.45:0.3579,3480.47:0.3276,2320.31:0.2793,439.06:0.2764,2198.44:0.2384,268.75:0.2376,3481.25:0.2376,440.23:0.2217,2199.22:0.2074,439.84:0.2054,879.69:0.7623,439.45:0.7595,439.06:0.6018,3480.47:0.5861,1318.75:0.4870,440.23:0.4853,878.52:0.4745,439.84:0.4469,1319.92:0.4342,3481.25:0.4215,80.08:0.3347,119.92:0.3129,39.84:0.2898,200.00:0.2458,160.16:0.2131,40.23:0.1894,239.84:0.1562,159.77:0.1553,280.08:0.1335,319.92:0.0978,439.45:0.4597,439.06:0.3458,1126.56:0.2307,1125.78:0.2269,268.75:0.2149,440.23:0.2095,1126.17:0.2092,439.84:0.2063,41.80:0.2003,1126.95:0.1717
439.45:0.3167,879.30:0.1767,439.84:0.1578,878.91:0.1572,877.73:0.1451,4638.67:0.1179,878.12:0.1087,438.67:0.1069,439.06:0.1060,2318.75:0.1025,40.23:10.1153,40.62:5.4785,39.84:2.7758,41.02:1.8987,39.45:1.4554,41.41:1.2999,39.06:1.0855,41.80:0.9117,42.19:0.7662,38.28:0.6894,439.45:0.3774,2318.75:0.3130,2320.31:0.2797,268.36:0.2169,2319.92:0.1904,2315.23:0.1891,439.84:0.1837,268.75:0.1719,1159.77:0.1393,2322.27:0.1388,1159.77:0.7331,879.30:0.6612,878.91:0.6087,877.73:0.5295,1158.59:0.5220,1158.98:0.4800,1160.55:0.4794,1160.16:0.4672,1158.20:0.4096,878.12:0.3938,268.36:0.2889,3479.69:0.2688,3478.52:0.2436,268.75:0.2234,3477.34:0.2224,439.45:0.1986,4638.67:0.1844,3473.83:0.1727,879.30:0.1665,267.97:0.1621,439.45:0.3793,3479.69:0.2766,2318.75:0.2678,3478.52:0.2460,3477.34:0.2336,268.36:0.2262,2320.31:0.2148,2197.27:0.2095,2198.05:0.1897,439.84:0.1881,439.45:0.9496,879.30:0.6009,878.91:0.5270,3479.69:0.4945,877.73:0.4860,439.84:0.4713,3478.52:0.4469,3477.34:0.4242,1319.14:0.4035,878.12:0.3529,119.92:0.3295,80.08:0.3145,39.84:0.3041,200.00:0.2334,159.77:0.2133,239.84:0.1972,40.23:0.1713,160.16:0.1661,79.69:0.1249,319.92:0.1048,439.45:0.5505,1126.17:0.2815,439.84:0.2660,1125.39:0.2286,41.80:0.2108,439.06:0.1950,268.36:0.1936,1125.78:0.1882,877.73:0.1871,537.11:0.1737
439.45:0.2685,878.52:0.2503,879.30:0.1666,439.06:0.1536,4640.62:0.1166,439.84:0.1134,880.08:0.1101,878.91:0.1094,4639.06:0.1092,4634.38:0.1079,40.23:10.2133,40.62:5.1613,39.84:2.3745,41.02:2.1194,39.45:1.4561,41.41:1.3401,39.06:1.0847,41.80:0.9172,42.19:0.7810,38.28:0.6546,439.45:0.4151,2316.80:0.2824,2319.14:0.2738,2320.70:0.2726,268.36:0.2642,2319.92:0.2545,439.06:0.2315,2318.36:0.1916,439.84:0.1860,2322.27:0.1584,878.52:0.9055,1159.38:0.6443,1158.98:0.5448,879.30:0.5231,880.08:0.4611,878.91:0.3996,268.36:0.3957,1160.55:0.3706,1317.97:0.3656,1157.81:0.3611,268.36:0.3498,439.45:0.2237,878.52:0.2165,3480.08:0.2010,3479.69:0.1909,3479.30:0.1776,268.75:0.1627,3476.95:0.1623,4639.06:0.1594,3474.22:0.1491,439.45:0.4307,268.36:0.2735,439.06:0.2340,2194.92:0.2202,2198.05:0.2190,3480.08:0.2149,2319.14:0.2054,2320.70:0.2048,3479.69:0.1948,2316.80:0.1931,439.45:0.9273,878.52:0.7889,1317.97:0.5545,439.06:0.5151,879.30:0.4915,439.84:0.3992,3480.08:0.3866,1319.53:0.3841,880.08:0.3647,1317.58:0.3647,119.92:0.3347,39.84:0.3095,80.08:0.3090,159.77:0.2335,200.00:0.2275,239.84:0.2082,40.23:0.1632,160.16:0.1436,79.69:0.1411,279.69:0.1215,439.45:0.5728,439.06:0.3444,878.52:0.3149,439.84:0.2450,1125.00:0.2191,268.36:0.2152,41.80:0.2041,1126.56:0.1816,537.11:0.1771,805.47:0.1611
439.45:0.2724,878.52:0.2492,4637.11:0.1508,878.91:0.1482,4638.67:0.1358,879.30:0.1321,439.06:0.1165,1159.38:0.1104,426.95:0.1102,877.73:0.1017,40.23:10.2231,40.62:5.1087,39.84:2.5285,41.02:2.0941,39.45:1.4818,41.41:1.2803,39.06:0.9933,41.80:0.9413,38.67:0.8857,42.19:0.7015,439.45:0.4382,2318.36:0.2914,2319.53:0.2859,268.36:0.2788,2317.97:0.2582,2319.14:0.2560,2318.75:0.2253,1159.38:0.2042,439.06:0.1986,4637.11:0.1655,1159.38:0.9071,878.52:0.8571,879.30:0.5288,878.91:0.5274,1317.97:0.5273,268.36:0.4126,1160.16:0.3697,879.69:0.3478,877.73:0.3436,439.45:0.3331,268.36:0.3638,3477.73:0.3118,439.45:0.2375,3479.30:0.2352,878.52:0.2134,4637.11:0.2061,3477.34:0.1935,1159.38:0.1893,4638.67:0.1747,268.75:0.1628,439.45:0.4499,3477.73:0.3408,268.36:0.2828,2197.27:0.2643,3479.30:0.2568,2197.66:0.2243,2196.48:0.2055,2317.97:0.2050,439.06:0.2048,2319.53:0.2029,439.45:0.9634,1317.97:0.8071,878.52:0.7473,3477.73:0.6175,1318.75:0.4625,3479.30:0.4611,878.91:0.4459,879.30:0.4285,439.06:0.4273,2197.27:0.4251,119.92:0.3384,39.84:0.3115,80.08:0.3096,159.77:0.2377,200.00:0.2296,239.84:0.2144,40.23:0.1625,160.16:0.1412,79.69:0.1407,279.69:0.1243,439.45:0.6543,439.06:0.3122,1125.00:0.2977,878.52:0.2629,537.11:0.2456,1125.78:0.2455,268.36:0.2028,439.84:0.1928,805.47:0.1889,281.25:0.1836
439.45:0.3147,878.91:0.2435,878.52:0.1540,427.34:0.1350,879.30:0.1329,4639.06:0.1312,4633.98:0.1279,4636.72:0.1276,877.73:0.1231,880.47:0.1143,40.23:9.3116,40.62:7.1197,39.84:2.9509,41.02:2.4147,39.45:1.7412,41.41:1.4800,39.06:1.1309,41.80:1.1198,42.19:0.9025,38.67:0.8022,439.45:0.4898,2317.58:0.3114,2319.14:0.2809,2319.92:0.2791,268.75:0.2254,268.36:0.2152,2318.75:0.2137,2318.36:0.2090,2314.84:0.1988,2321.88:0.1838,878.91:0.8177,1158.98:0.6236,1159.77:0.6012,878.52:0.5257,1158.59:0.5245,1161.33:0.4697,877.73:0.4375,879.30:0.4247,880.47:0.3963,439.45:0.3627,268.75:0.2814,268.36:0.2667,439.45:0.2605,3476.56:0.2135,3480.47:0.2018,878.91:0.1994,3479.69:0.1871,3478.12:0.1832,4633.98:0.1822,4639.06:0.1713,439.45:0.4980,2196.88:0.2727,3476.56:0.2357,3480.47:0.2323,2317.58:0.2248,268.75:0.2204,268.36:0.2125,3479.69:0.2104,2319.14:0.2054,3478.12:0.2046,439.45:1.0770,878.91:0.7351,1317.97:0.4867,878.52:0.4721,2196.88:0.4425,3480.47:0.4113,3476.56:0.4076,1317.19:0.4046,879.30:0.4014,877.73:0.3997,119.92:0.3294,80.08:0.3242,39.84:0.3007,200.00:0.2466,159.77:0.1981,239.84:0.1934,160.16:0.1852,40.23:0.1781,280.08:0.1204,79.69:0.1121,439.45:0.7515,537.11:0.2557,878.52:0.2190,439.06:0.2094,878.91:0.2093,41.80:0.2087,805.08:0.1941,1125.39:0.1907,1083.20:0.1819,281.25:0.1777
878.91:0.3120,439.45:0.3005,4639.06:0.1548,427.34:0.1376,879.69:0.1329,4639.45:0.1201,4644.53:0.1144,878.52:0.1124,308.59:0.1088,4632.03:0.1049,40.23:9.4719,40.62:6.4767,39.84:2.8348,41.02:2.3868,39.45:1.5694,41.41:1.4929,41.80:1.0870,39.06:1.0717,38.67:0.8757,42.19:0.8602,439.45:0.4997,2320.31:0.3368,2319.14:0.2687,2319.92:0.2477,268.75:0.2409,2318.36:0.2281,2316.41:0.2113,2315.62:0.2041,268.36:0.2030,2322.66:0.1908,878.91:1.0705,1159.77:0.7247,879.69:0.5599,1160.55:0.5436,1318.36:0.4319,878.52:0.3660,1158.98:0.3620,268.75:0.3467,439.45:0.3362,891.02:0.3147,268.75:0.2998,878.91:0.2760,3478.91:0.2707,439.45:0.2690,268.36:0.2557,4639.06:0.1801,3474.61:0.1773,3482.42:0.1696,4639.45:0.1660,3479.69:0.1619,439.45:0.5014,3478.91:0.3201,2197.27:0.2449,268.75:0.2328,2197.66:0.2311,3482.42:0.2055,268.36:0.1981,2198.05:0.1976,3474.61:0.1909,2320.31:0.1903,439.45:1.0665,878.91:0.9927,1318.36:0.6407,3478.91:0.5675,879.69:0.4830,1319.14:0.4439,2197.27:0.4011,2197.66:0.3781,1757.81:0.3723,3482.42:0.3635,119.92:0.3315,80.08:0.3293,39.84:0.2998,200.00:0.2548,239.84:0.1943,159.77:0.1925,160.16:0.1919,40.23:0.1782,280.08:0.1287,319.92:0.1174,439.45:0.7819,878.91:0.3570,1125.39:0.2970,537.11:0.2821,1126.17:0.2721,41.80:0.1870,281.25:0.1690,878.52:0.1605,268.75:0.1574,1074.22:0.1525
878.52:0.2206,439.45:0.1890,879.30:0.1852,439.06:0.1579,877.73:0.1434,439.84:0.1404,4637.89:0.1165,426.95:0.1155,4642.19:0.1151,4630.47:0.1151,40.23:10.0199,40.62:5.5502,41.02:2.4541,39.84:2.3312,39.45:1.5272,41.41:1.3881,39.06:1.0613,41.80:1.0251,38.67:0.9804,42.19:0.7634,439.45:0.3430,2319.92:0.3165,268.36:0.3119,439.06:0.2685,2319.14:0.2541,439.84:0.2532,2316.80:0.2291,2319.53:0.2177,2322.27:0.2173,2315.23:0.2157,878.52:0.7884,1159.77:0.6608,879.30:0.6290,877.73:0.5302,1158.59:0.4955,268.36:0.4607,1318.36:0.3746,880.08:0.3727,878.12:0.3691,1159.38:0.3637,268.36:0.4025,3479.30:0.2055,878.52:0.2038,439.45:0.1808,3478.91:0.1803,3473.83:0.1739,4630.47:0.1688,4639.06:0.1630,3479.69:0.1624,3475.39:0.1572,439.45:0.3424,268.36:0.3063,439.06:0.2693,439.84:0.2599,3479.30:0.2448,3478.91:0.2135,2197.27:0.2133,3479.69:0.2106,3483.59:0.2023,3473.83:0.2007,439.45:0.6938,878.52:0.6880,879.30:0.5985,439.06:0.5762,1318.36:0.5490,439.84:0.5384,877.73:0.4803,1317.19:0.4653,3479.30:0.4370,3478.91:0.3764,119.92:0.3355,39.84:0.3161,80.08:0.2992,159.77:0.2504,200.00:0.2087,239.84:0.2085,79.69:0.1578,40.23:0.1556,279.69:0.1345,199.61:0.1172,439.45:0.5367,439.06:0.4519,439.84:0.3690,878.52:0.3361,1125.39:0.2330,281.25:0.1962,41.80:0.1962,879.30:0.1916,268.36:0.1767,877.73:0.1645
