439.45:0.4614,879.30:0.1938,878.91:0.1839,439.84:0.1755,439.06:0.1200,878.12:0.1076,1160.16:0.1014,4641.02:0.0984,438.67:0.0953,308.59:0.0892,4636.33:0.0877,878.52:0.0848,880.08:0.0846,427.34:0.0829,4682.03:0.0825,876.56:0.0808,4680.86:0.0765,440.62:0.0762,1159.38:0.0757,4601.17:0.0751,4594.14:0.0749,4633.98:0.0744,4684.38:0.0724,451.56:0.0685,4599.61:0.0684,1598.83:0.0673,4596.48:0.0656,268.36:0.0645,438.28:0.0640,4676.17:0.0623,4679.69:0.0618,876.95:0.0610,1158.98:0.0610,437.11:0.0608,877.73:0.0607,4604.30:0.0603,440.23:0.0602,4601.95:0.0600,1200.00:0.0599,4682.42:0.0597,4642.19:0.0593,2196.88:0.0591,4633.59:0.0586,4641.41:0.0585,4638.28:0.0573,4674.61:0.0570,426.95:0.0567,4639.45:0.0549,4678.12:0.0536,4644.14:0.0534,4673.44:0.0529,437.50:0.0519,427.73:0.0519,4629.30:0.0518,4635.94:0.0517,4642.58:0.0517,4632.03:0.0499,881.25:0.0499,4674.22:0.0496,1599.61:0.0493,879.69:0.0492,4214.84:0.0486,4597.66:0.0483,1119.53:0.0480,1586.72:0.0480,4637.50:0.0474,4633.20:0.0473,4681.25:0.0466,1160.55:0.0458,441.80:0.0456,4671.88:0.0454,281.25:0.0453,537.11:0.0448,4646.09:0.0448,2319.14:0.0448,437.89:0.0443,877.34:0.0442,4667.19:0.0441,1199.61:0.0440,4593.36:0.0439,4596.09:0.0438,4643.36:0.0435,4597.27:0.0433,1597.66:0.0432,4639.84:0.0432,414.84:0.0428,1161.72:0.0427,4212.50:0.0425,1157.42:0.0422,4601.56:0.0419,881.64:0.0417,4677.34:0.0416,1157.81:0.0401,268.75:0.0400,4404.30:0.0400,4380.08:0.0398,4677.73:0.0398,4675.78:0.0397,1879.69:0.0395,1158.20:0.0395
439.45:0.4487,878.91:0.1953,878.52:0.1502,879.30:0.1436,439.06:0.1331,439.84:0.1301,4634.77:0.1169,878.12:0.1039,880.47:0.1016,1159.38:0.0942,4639.84:0.0912,1158.98:0.0903,308.59:0.0871,4638.28:0.0848,4635.94:0.0838,1598.44:0.0780,427.34:0.0778,441.02:0.0756,4594.92:0.0746,4598.44:0.0718,876.56:0.0707,4674.61:0.0702,877.73:0.0695,4679.69:0.0681,451.56:0.0665,4637.89:0.0661,2196.48:0.0658,1160.16:0.0632,4600.00:0.0621,426.95:0.0620,4639.45:0.0611,438.67:0.0607,268.36:0.0597,4599.61:0.0584,2318.36:0.0578,4675.78:0.0573,4678.91:0.0567,2316.80:0.0565,2319.14:0.0550,438.28:0.0546,4632.42:0.0537,2316.41:0.0537,437.89:0.0518,4643.75:0.0516,4633.20:0.0515,4680.08:0.0513,877.34:0.0510,4639.06:0.0503,4673.83:0.0501,2318.75:0.0492,537.11:0.0491,1757.03:0.0490,1158.59:0.0470,4641.80:0.0470,4644.53:0.0467,4212.50:0.0464,4641.02:0.0462,4207.42:0.0462,414.84:0.0457,281.25:0.0454,4675.00:0.0453,4673.05:0.0444,5074.22:0.0442,4680.86:0.0440,4633.98:0.0433,4601.56:0.0432,4675.39:0.0427,4677.73:0.0426,1161.33:0.0423,4592.58:0.0423,4593.75:0.0422,2037.89:0.0421,1157.42:0.0421,4208.20:0.0417,444.14:0.0416,4596.09:0.0415,2197.27:0.0414,4595.31:0.0413,4598.83:0.0408,4681.64:0.0408,1200.00:0.0407,4594.53:0.0407,427.73:0.0405,1199.61:0.0403,1119.53:0.0402,4212.89:0.0401,1198.83:0.0400,268.75:0.0398,4630.86:0.0398,4341.80:0.0392,437.11:0.0390,4641.41:0.0383,2320.31:0.0381,434.38:0.0378,1147.27:0.0378,4672.27:0.0377,1199.22:0.0376,4207.81:0.0375,3915.23:0.0373,1600.39:0.0372
439.45:0.3257,878.91:0.1773,427.34:0.1532,879.30:0.1430,877.34:0.1257,880.47:0.1186,439.84:0.1080,4644.14:0.1053,440.23:0.1008,878.12:0.1006,878.52:0.1004,880.08:0.0986,438.67:0.0961,879.69:0.0956,308.59:0.0933,4642.58:0.0900,4633.98:0.0895,439.06:0.0891,2321.09:0.0782,440.62:0.0727,4644.92:0.0724,4604.30:0.0681,268.75:0.0664,437.89:0.0662,4645.31:0.0648,1159.77:0.0632,4635.94:0.0626,4684.38:0.0616,1759.38:0.0610,4637.89:0.0608,2316.41:0.0607,1161.33:0.0577,2322.27:0.0576,1158.20:0.0574,2317.58:0.0572,1597.66:0.0559,4634.77:0.0550,2321.88:0.0535,2320.31:0.0533,4682.42:0.0525,4633.20:0.0519,1159.38:0.0518,4641.02:0.0516,4631.64:0.0510,2317.97:0.0501,4641.41:0.0501,4635.55:0.0499,4632.42:0.0493,4683.98:0.0480,438.28:0.0476,1160.94:0.0473,4674.22:0.0471,4594.14:0.0471,4602.73:0.0470,4682.81:0.0467,4644.53:0.0460,5805.47:0.0457,4630.86:0.0456,1319.92:0.0455,4675.39:0.0455,4673.05:0.0449,537.11:0.0445,4680.86:0.0444,4630.08:0.0443,2323.05:0.0443,1599.22:0.0440,4410.55:0.0437,4685.16:0.0437,4636.72:0.0435,4676.56:0.0426,4639.45:0.0424,4602.34:0.0419,4642.97:0.0418,4640.62:0.0412,4632.03:0.0402,4642.19:0.0401,415.23:0.0398,4600.78:0.0393,720.31:0.0392,1600.78:0.0390,1160.55:0.0387,1158.98:0.0384,2199.22:0.0383,4684.77:0.0382,2041.02:0.0380,4597.27:0.0380,4208.59:0.0378,444.53:0.0377,281.25:0.0377,4216.80:0.0375,4215.23:0.0375,891.41:0.0373,4671.48:0.0372,4724.22:0.0369,41.80:0.0364,4203.52:0.0362,4595.31:0.0361,1757.81:0.0360,2317.19:0.0360,4400.78:0.0360
879.69:0.2406,439.45:0.2251,439.06:0.1756,878.52:0.1488,4640.62:0.1422,440.23:0.1355,439.84:0.1334,427.34:0.1182,880.08:0.1147,4641.80:0.1132,4641.41:0.0999,4643.75:0.0987,877.34:0.0978,2320.31:0.0971,878.12:0.0957,4681.64:0.0949,308.59:0.0831,4601.56:0.0812,427.73:0.0793,4680.47:0.0790,1160.94:0.0786,4636.72:0.0732,876.95:0.0708,879.30:0.0707,4640.23:0.0698,4644.14:0.0695,2321.48:0.0677,437.89:0.0668,426.95:0.0660,268.75:0.0654,4628.52:0.0649,876.17:0.0641,4642.19:0.0630,4684.38:0.0623,2321.88:0.0604,4645.70:0.0594,1160.55:0.0590,4628.12:0.0570,5800.78:0.0565,1160.16:0.0541,2322.27:0.0535,4213.67:0.0531,4600.78:0.0526,4646.09:0.0526,4631.64:0.0517,4603.91:0.0499,438.28:0.0496,5801.56:0.0494,2314.84:0.0493,4647.66:0.0493,4645.31:0.0491,4632.03:0.0490,2319.53:0.0483,880.47:0.0480,4721.48:0.0478,4628.91:0.0475,891.80:0.0471,4630.47:0.0465,4397.27:0.0461,2319.92:0.0458,4600.39:0.0458,3920.70:0.0458,1759.38:0.0458,4604.30:0.0455,1759.77:0.0453,4637.50:0.0449,4635.16:0.0449,4648.05:0.0443,4680.86:0.0439,1600.39:0.0437,4629.69:0.0437,4668.75:0.0428,4677.73:0.0424,1318.75:0.0417,1601.17:0.0414,1148.83:0.0411,4643.36:0.0411,4639.06:0.0404,4597.66:0.0403,4409.77:0.0401,1599.22:0.0401,2319.14:0.0397,440.62:0.0396,4683.59:0.0393,4201.56:0.0390,4636.33:0.0390,4214.45:0.0390,4682.03:0.0390,1588.28:0.0388,5760.94:0.0386,4637.11:0.0385,4641.02:0.0385,4669.92:0.0382,1757.81:0.0382,428.12:0.0380,4630.08:0.0380,269.14:0.0376,3908.59:0.0374,4644.53:0.0372,308.20:0.0372
439.45:0.3167,879.30:0.1767,439.84:0.1578,878.91:0.1572,877.73:0.1451,4638.67:0.1179,878.12:0.1087,438.67:0.1069,439.06:0.1060,2318.75:0.1025,4637.89:0.0933,4642.58:0.0909,880.08:0.0875,308.59:0.0854,2320.31:0.0829,427.34:0.0824,5798.44:0.0813,4636.33:0.0784,4637.50:0.0782,4644.14:0.0781,4639.45:0.0779,879.69:0.0778,4632.42:0.0766,1159.77:0.0742,4639.06:0.0731,4680.08:0.0727,438.28:0.0711,4640.23:0.0708,4630.47:0.0691,4676.56:0.0687,4678.52:0.0686,4637.11:0.0674,4678.91:0.0671,1599.61:0.0653,5796.09:0.0650,4630.08:0.0649,4600.00:0.0645,4643.75:0.0640,4677.73:0.0625,268.36:0.0621,2315.23:0.0620,4636.72:0.0612,441.02:0.0612,2319.92:0.0609,4398.44:0.0591,4633.98:0.0585,4642.97:0.0580,4639.84:0.0562,877.34:0.0556,4645.70:0.0550,426.56:0.0543,4596.48:0.0538,4598.05:0.0533,1600.00:0.0530,4682.42:0.0517,4669.92:0.0509,1160.55:0.0504,426.95:0.0495,268.75:0.0485,4646.09:0.0484,4634.38:0.0477,437.50:0.0473,4678.12:0.0473,4597.66:0.0464,4628.52:0.0461,876.95:0.0459,1158.59:0.0457,4683.59:0.0455,4628.12:0.0452,281.25:0.0448,4626.56:0.0444,440.62:0.0443,4644.53:0.0441,1160.16:0.0440,4681.25:0.0439,1158.98:0.0439,4633.59:0.0438,4406.64:0.0433,4394.53:0.0431,2314.84:0.0429,2039.06:0.0426,5797.27:0.0420,880.47:0.0420,4629.30:0.0420,4683.98:0.0419,4598.44:0.0417,5792.58:0.0416,1757.81:0.0415,4599.61:0.0415,4598.83:0.0414,537.11:0.0408,2317.58:0.0405,5758.59:0.0405,1587.50:0.0404,2322.27:0.0403,4673.44:0.0401,4645.31:0.0401,4717.58:0.0401,4641.02:0.0399,4601.17:0.0399
439.45:0.2685,878.52:0.2503,879.30:0.1666,439.06:0.1536,4640.62:0.1166,439.84:0.1134,880.08:0.1101,878.91:0.1094,4639.06:0.1092,4634.38:0.1079,426.95:0.1070,427.34:0.0909,876.95:0.0908,4643.75:0.0878,4637.89:0.0855,308.59:0.0826,4635.94:0.0774,879.69:0.0763,4633.59:0.0752,2316.80:0.0751,2320.70:0.0740,2319.14:0.0733,268.36:0.0727,1159.38:0.0709,880.47:0.0707,4642.58:0.0695,4678.91:0.0677,4632.42:0.0671,4683.59:0.0664,4680.47:0.0656,2319.92:0.0655,4641.02:0.0648,880.86:0.0631,4632.81:0.0625,1600.00:0.0607,427.73:0.0592,4642.19:0.0590,1158.98:0.0584,4677.73:0.0584,1758.59:0.0575,2318.36:0.0569,4600.78:0.0557,4630.86:0.0546,4674.22:0.0544,4672.66:0.0541,1598.44:0.0537,4638.67:0.0530,4678.52:0.0529,4599.22:0.0523,5804.30:0.0522,4631.64:0.0516,5791.80:0.0515,878.12:0.0512,4632.03:0.0511,308.20:0.0510,281.25:0.0498,5800.00:0.0495,1757.81:0.0493,4671.88:0.0491,5798.83:0.0484,4642.97:0.0484,4630.08:0.0484,1317.97:0.0480,877.34:0.0478,4644.14:0.0471,5796.88:0.0470,4682.42:0.0469,4644.92:0.0464,3919.14:0.0461,440.62:0.0456,1586.33:0.0447,4603.52:0.0446,1587.89:0.0444,1159.77:0.0440,4673.44:0.0439,4644.53:0.0438,4596.09:0.0437,5802.34:0.0434,1157.81:0.0430,451.56:0.0430,4639.45:0.0428,2037.89:0.0428,437.89:0.0427,5797.66:0.0426,4637.50:0.0425,4679.30:0.0424,4592.58:0.0423,1757.03:0.0423,4598.05:0.0422,1146.88:0.0422,1755.47:0.0421,4684.77:0.0420,4594.14:0.0416,4628.91:0.0413,4639.84:0.0411,2039.45:0.0407,890.62:0.0401,5802.73:0.0399,537.11:0.0398,4594.53:0.0396
439.45:0.2724,878.52:0.2492,4637.11:0.1508,878.91:0.1482,4638.67:0.1358,879.30:0.1321,439.06:0.1165,1159.38:0.1104,426.95:0.1102,877.73:0.1017,4640.23:0.0998,439.84:0.0979,879.69:0.0963,4636.72:0.0901,427.34:0.0868,308.59:0.0851,4642.58:0.0844,876.95:0.0822,4635.55:0.0818,268.36:0.0762,1317.97:0.0730,2318.36:0.0720,4598.83:0.0695,4631.64:0.0683,2319.53:0.0676,2317.97:0.0674,4676.95:0.0658,4676.56:0.0646,4597.27:0.0644,4679.69:0.0631,4635.16:0.0631,4675.39:0.0628,4630.08:0.0615,4677.73:0.0608,2319.14:0.0603,4629.69:0.0599,4637.89:0.0594,4678.52:0.0594,4639.45:0.0591,4679.30:0.0587,5797.27:0.0584,1758.20:0.0571,4639.06:0.0570,5799.22:0.0547,2318.75:0.0544,4641.02:0.0543,5796.48:0.0542,880.47:0.0541,5795.70:0.0540,440.23:0.0538,4680.08:0.0538,2038.67:0.0534,1599.61:0.0530,4640.62:0.0524,4643.36:0.0523,4635.94:0.0523,5799.61:0.0516,1598.83:0.0511,880.08:0.0510,4682.42:0.0504,4597.66:0.0497,5793.75:0.0495,878.12:0.0491,4678.91:0.0490,281.25:0.0489,4633.20:0.0486,451.56:0.0485,3917.19:0.0478,308.20:0.0471,1318.75:0.0469,4639.84:0.0464,1757.81:0.0463,4634.77:0.0462,4631.25:0.0462,4682.81:0.0459,1147.27:0.0457,444.14:0.0456,4210.16:0.0455,1757.42:0.0455,537.11:0.0446,427.73:0.0442,4632.42:0.0440,434.38:0.0438,4671.48:0.0438,438.28:0.0432,2197.27:0.0429,4718.75:0.0429,1160.16:0.0429,881.64:0.0427,5796.88:0.0427,4637.50:0.0425,4644.14:0.0422,4596.48:0.0421,5790.62:0.0417,4211.72:0.0415,4634.38:0.0412,4599.22:0.0411,4674.61:0.0409,5800.39:0.0407,4595.31:0.0400
439.45:0.3147,878.91:0.2435,878.52:0.1540,427.34:0.1350,879.30:0.1329,4639.06:0.1312,4633.98:0.1279,4636.72:0.1276,877.73:0.1231,880.47:0.1143,4635.16:0.1095,4678.91:0.1043,4638.67:0.1024,308.59:0.1022,4632.42:0.0999,2317.58:0.0886,4636.33:0.0876,4641.02:0.0865,439.06:0.0846,876.95:0.0811,4644.53:0.0772,2319.14:0.0760,4676.56:0.0756,2319.92:0.0747,4637.89:0.0746,4598.83:0.0742,878.12:0.0724,5798.05:0.0716,1159.77:0.0709,880.08:0.0697,439.84:0.0693,4644.14:0.0684,4675.00:0.0672,1598.44:0.0667,4639.45:0.0663,4648.05:0.0649,1158.98:0.0640,4646.88:0.0633,268.75:0.0632,268.36:0.0609,438.28:0.0599,4638.28:0.0599,5800.39:0.0596,1158.59:0.0595,4594.14:0.0592,4629.69:0.0590,2318.75:0.0576,2318.36:0.0568,5795.70:0.0568,441.02:0.0560,4632.03:0.0558,5792.58:0.0552,4626.56:0.0552,4673.83:0.0549,4646.48:0.0544,4633.20:0.0544,4634.77:0.0542,5796.48:0.0541,4672.27:0.0538,2314.84:0.0529,4624.22:0.0528,537.11:0.0524,4678.12:0.0522,4628.91:0.0516,4674.22:0.0514,4684.38:0.0507,2317.19:0.0507,4634.38:0.0504,1146.88:0.0502,880.86:0.0501,881.25:0.0498,876.56:0.0498,281.25:0.0491,4639.84:0.0491,1161.33:0.0490,4628.12:0.0489,4648.44:0.0487,2316.02:0.0486,4642.58:0.0480,4643.36:0.0475,1757.42:0.0474,4637.11:0.0473,2316.80:0.0471,5793.75:0.0471,2196.88:0.0469,4637.50:0.0465,4642.19:0.0464,4641.41:0.0459,4630.08:0.0459,4641.80:0.0455,4681.25:0.0453,2038.28:0.0450,2321.09:0.0449,1586.33:0.0445,4629.30:0.0444,4596.48:0.0444,1598.05:0.0443,437.50:0.0443,4601.17:0.0440,426.95:0.0438
878.91:0.3120,439.45:0.3005,4639.06:0.1548,427.34:0.1376,879.69:0.1329,4639.45:0.1201,4644.53:0.1144,878.52:0.1124,308.59:0.1088,4632.03:0.1049,4634.38:0.0903,4642.97:0.0900,4641.80:0.0885,5798.83:0.0849,4637.89:0.0846,4638.28:0.0836,4640.23:0.0831,877.34:0.0817,4678.12:0.0793,2320.31:0.0787,4636.33:0.0783,4682.81:0.0782,1159.77:0.0768,877.73:0.0758,878.12:0.0745,4635.94:0.0745,4684.38:0.0734,4645.70:0.0729,4678.91:0.0726,4633.59:0.0716,4636.72:0.0711,2319.14:0.0709,268.75:0.0681,4680.08:0.0670,4631.25:0.0665,880.86:0.0663,4632.81:0.0642,1160.55:0.0625,1600.00:0.0623,4679.30:0.0619,4644.14:0.0612,1318.36:0.0609,2319.92:0.0607,4646.48:0.0599,1599.22:0.0595,4672.27:0.0584,268.36:0.0584,4632.42:0.0579,5801.56:0.0574,880.08:0.0573,2318.36:0.0564,4599.22:0.0555,4599.61:0.0552,2315.62:0.0550,4646.09:0.0548,4602.73:0.0542,4642.58:0.0541,537.11:0.0540,5796.48:0.0537,440.23:0.0536,4598.05:0.0535,1598.05:0.0532,876.56:0.0524,5790.23:0.0522,5805.08:0.0521,4630.47:0.0512,2316.41:0.0505,4633.20:0.0504,4629.69:0.0500,5758.59:0.0496,5796.88:0.0493,4633.98:0.0492,2320.70:0.0477,4600.00:0.0473,5794.53:0.0472,2039.45:0.0469,5806.25:0.0468,4679.69:0.0468,5791.80:0.0466,1319.14:0.0461,4604.30:0.0460,439.06:0.0458,4675.78:0.0456,451.56:0.0456,4592.19:0.0454,4678.52:0.0454,4673.05:0.0452,4673.83:0.0451,1757.81:0.0450,5803.52:0.0443,438.67:0.0441,1600.39:0.0434,2197.27:0.0428,4638.67:0.0426,2317.19:0.0422,5806.64:0.0421,2321.88:0.0417,880.47:0.0413,4605.86:0.0412,5798.44:0.0411
878.52:0.2206,439.45:0.1890,879.30:0.1852,439.06:0.1579,877.73:0.1434,439.84:0.1404,4637.89:0.1165,426.95:0.1155,4642.19:0.1151,4630.47:0.1151,4632.03:0.1124,4639.06:0.1082,878.12:0.1053,4632.42:0.0995,879.69:0.0988,4672.27:0.0964,4640.62:0.0897,4637.11:0.0886,268.36:0.0885,4638.67:0.0813,876.17:0.0813,880.08:0.0808,5789.06:0.0786,2319.92:0.0775,4639.45:0.0769,4682.03:0.0742,427.73:0.0741,4679.30:0.0731,308.59:0.0729,5801.95:0.0667,876.95:0.0659,4678.52:0.0658,308.20:0.0650,5803.52:0.0646,4635.16:0.0634,1318.36:0.0630,878.91:0.0627,5798.05:0.0622,4592.19:0.0622,4677.73:0.0589,4599.22:0.0588,5799.22:0.0587,1159.77:0.0585,1598.05:0.0580,4635.55:0.0578,880.86:0.0578,2316.80:0.0574,4641.41:0.0574,4633.59:0.0572,4644.53:0.0571,4590.62:0.0565,4638.28:0.0559,4680.47:0.0557,2315.23:0.0554,4643.36:0.0549,2319.14:0.0544,427.34:0.0539,4676.95:0.0538,1158.59:0.0532,4633.98:0.0529,4670.31:0.0521,4644.92:0.0519,5794.92:0.0513,5795.31:0.0501,451.56:0.0496,5801.17:0.0491,4646.09:0.0489,1599.22:0.0485,4681.64:0.0482,2319.53:0.0473,4598.05:0.0471,308.98:0.0470,4629.69:0.0466,2322.27:0.0466,1317.19:0.0464,881.64:0.0462,281.25:0.0460,1587.11:0.0458,2317.19:0.0454,1599.61:0.0451,5798.44:0.0448,4671.88:0.0444,4675.00:0.0443,1597.66:0.0441,891.41:0.0441,4673.44:0.0440,4629.30:0.0439,2315.62:0.0438,4678.91:0.0437,877.34:0.0433,4645.31:0.0433,4210.94:0.0431,4625.78:0.0430,4631.25:0.0428,4601.56:0.0427,881.25:0.0425,1147.66:0.0424,438.28:0.0423,4636.72:0.0422,437.50:0.0421
439.45:0.2339,878.12:0.1849,878.91:0.1815,878.52:0.1328,4637.50:0.1282,879.30:0.1172,427.34:0.1016,876.95:0.0984,438.67:0.0967,4633.59:0.0962,4631.64:0.0929,880.47:0.0917,880.08:0.0911,308.59:0.0905,426.95:0.0893,4630.47:0.0820,4628.91:0.0820,4644.53:0.0811,5798.05:0.0770,4639.45:0.0769,880.86:0.0762,268.36:0.0758,4637.89:0.0748,4635.16:0.0747,4643.75:0.0724,4636.72:0.0693,439.06:0.0692,877.73:0.0691,4677.73:0.0676,4646.09:0.0662,4641.02:0.0660,2319.14:0.0659,1598.05:0.0640,4639.84:0.0630,4638.67:0.0622,4673.83:0.0619,5795.70:0.0618,4676.95:0.0613,4636.33:0.0606,4637.11:0.0585,426.56:0.0584,440.23:0.0582,4684.38:0.0581,877.34:0.0575,4638.28:0.0574,451.56:0.0567,4681.25:0.0564,5797.27:0.0551,4597.66:0.0549,1158.59:0.0548,876.56:0.0538,4645.31:0.0538,4633.98:0.0535,4678.52:0.0524,4671.48:0.0523,5787.50:0.0522,4629.69:0.0517,2316.41:0.0514,4679.30:0.0509,875.39:0.0509,1756.64:0.0508,2321.88:0.0507,4593.75:0.0507,5792.58:0.0505,4641.41:0.0495,281.25:0.0495,4685.94:0.0492,4677.34:0.0490,2317.97:0.0485,441.02:0.0481,2318.75:0.0476,5796.48:0.0461,4668.75:0.0459,4635.55:0.0456,4590.62:0.0454,4683.59:0.0452,2318.36:0.0449,4685.16:0.0449,268.75:0.0449,1759.77:0.0446,4676.56:0.0444,5800.00:0.0438,876.17:0.0436,1317.19:0.0435,1159.38:0.0433,4633.20:0.0431,5793.36:0.0428,4600.00:0.0427,881.64:0.0426,1598.83:0.0425,537.11:0.0424,5806.25:0.0424,5796.09:0.0421,5785.94:0.0421,879.69:0.0419,5787.11:0.0418,1317.58:0.0417,5790.62:0.0415,5794.92:0.0415,434.38:0.0414
